,Ref_Cu,Ref_Zn,Ref_Pb,Ref_Sn,Ref_Ni,Ref_Al,Ref_Mn,Ref_Fe
2018-01-01,6573.0,2962.0,2280.0,20274.0,13420.0,2134.0,2398.0,0
2019-01-01,6328.5245772624485,3737.407365345373,2073.6763762403325,22277.964310114145,12613.175094353139,1919.35000463873,2514.871394891575,0
2020-01-01,7297.1395352438385,4522.059048613222,1577.3928601821608,22078.03452253723,11264.276988399268,2072.1228078133627,2901.0746436469153,0
2021-01-01,8342.664719489027,5375.599220724386,1443.3309220312694,19988.553824277744,14346.5815270762,1847.2314405737095,2374.872861392655,0
2022-01-01,10515.940216104907,4736.574138441822,922.9313774807515,23039.742992252763,14360.526430630323,1808.1309396788688,2899.216323387971,0
2023-01-01,11751.077369535296,4075.082042401913,1067.8826860947065,24156.13094421081,11112.178381104442,1739.9101900752544,2965.6820415471766,0
2024-01-01,13295.078162313941,5366.171104700338,1075.8164979376188,27670.698399214845,11218.911240029549,1571.8980311880973,2936.2017477080412,0
2025-01-01,14687.402175128327,6310.570259919479,719.9590454500863,26292.028665554375,12222.03782775772,1870.5217269433736,3972.2001630450955,0
2026-01-01,11044.82108296278,3902.2260528541683,691.1608906176116,31605.13766139977,12330.526590425785,2311.703673071649,4134.743743015313,0
2027-01-01,11377.587281294725,4099.476418585273,346.9730494569897,29512.90146682081,11637.246911258673,2531.7582867903666,4229.857357022089,0
2028-01-01,11839.823174822834,3688.09432549885,296.34862032945256,38126.33885033033,13219.028775852748,3378.9997040639832,4007.4313985684253,0
2029-01-01,14412.773050821343,3840.9583567966715,438.96026612185346,37793.890362577695,14239.747033975875,2891.2846706095706,4403.425011677408,0
2030-01-01,20767.03266324658,3185.47879906701,386.79197385268066,41335.38050089494,20072.62467968557,3012.554043678416,4476.0569130293525,0
2031-01-01,22565.755911735814,2683.827827230232,400.878748109439,37073.565719065926,20993.92430809551,4264.504845116425,4735.319759789361,0
2032-01-01,19769.36577771361,2500.6419092209476,414.98897779806754,23375.982851945377,33395.50367256516,4756.1025266680535,5020.714742453335,0
2033-01-01,23152.820768962036,1950.874475967157,444.64089141702124,25538.36404760537,30584.495709406285,4309.868684865805,4630.59859143307,0
2034-01-01,20538.68839564495,2086.338596272133,655.8547428686567,26042.266149832223,40981.8187048981,3935.1010340904677,6337.855839791953,0
2035-01-01,20257.968032250155,1701.1626118244058,531.7826504763166,27426.860290530512,32504.817366010553,3792.2213167293717,5464.233502323733,0
2036-01-01,23983.09893950838,1499.0774947577065,476.71581535340437,32208.977246208553,33014.934517623435,4223.7580540204335,6603.397847494934,0
2037-01-01,22665.135176075986,1759.2602911283382,602.3916901054306,36242.58577574202,32337.49138148001,3703.6092718406944,6486.003736563916,0
2038-01-01,29879.641679926226,2353.4402187735614,864.7562419699367,34675.37711056623,21960.255152248927,3952.474562246936,6296.431878191824,0
2039-01-01,17612.70274257004,3063.5692200732115,1146.8005369977004,51635.31372552045,22348.379749502295,4918.356019627747,7828.1531162699275,0
2040-01-01,19372.46683749188,2461.110628557469,1322.0282155106606,47494.614238401766,26127.4061973286,7207.951252366143,8220.812274432708,0
2041-01-01,19599.981969192777,2585.595014455012,1445.8523875898984,46843.22097788512,30137.40383231234,7342.222149395652,5952.400215667562,0
2042-01-01,22491.104047197907,3122.414575315891,1654.9657049376196,58206.335000571176,36864.68677996645,8934.829204989386,5054.372527790904,0
2043-01-01,29134.94025093644,3286.701377672139,1549.6503731606401,76107.46599490919,41610.772985009746,11379.146479783167,3213.748594484436,0
2044-01-01,26724.9171478265,2977.8310482872566,1303.2958445782674,72882.12157406818,22077.18140294549,11818.932201049924,3274.1265677448832,0
2045-01-01,22341.401816621816,2332.1986577307985,1804.6726056780021,74165.64594762986,27178.662925246914,10744.057078287025,2471.6506688233626,0
2046-01-01,26457.112710868252,3232.5681833492545,2137.066604725774,101771.21246933212,23625.736181514825,8360.880915784686,2423.520785047561,0
2047-01-01,31370.50552091094,2897.0517173501794,2898.6900071961904,97455.76976424384,30139.287101209036,7045.256414900656,2537.7281217949235,0
