,CN secondary ratio,RoW secondary ratio,Annual TCRC,Annual SP2,CN primary CU,CN secondary CU,CN total CU,RoW primary CU,RoW secondary CU,RoW total CU
1993,0.4794902429311033,0.1931022305926667,959.1938700091315,643.4263428857876,0.9965442764578835,0.9114337568058075,0.9368488745980708,0.8437564487729278,0.8600860541635028,0.8588250631926589
1994,0.46784020567345685,0.203817794381191,841.3371092476353,710.6444034910924,0.9556526315789473,0.8760373001776199,0.9020704898446834,0.8158319931534904,0.8105926282823417,0.829844364129783
1995,0.48701826342671406,0.23003887818553084,659.2490789967804,1003.1611059604347,0.939837067209776,0.931875,0.9339261427218731,0.8082259715355414,0.8047627889703836,0.822779811622425
1996,0.4192367608317519,0.20000835301706338,839.2436749351455,694.3183006954018,0.9344499221587961,0.9679234149403642,0.9582053257984415,0.83847951684681,0.8002636709683408,0.8472180095457356
1997,0.5012509701196469,0.18894169533306684,906.3963774982449,686.8798854471715,0.726171671882818,0.8890961995249407,0.8192894783274357,0.8449136538947912,0.8340683784800601,0.859518544396945
1998,0.4984502107592761,0.21513006611095142,820.28826929231,498.08672926585473,0.713814524291498,0.7457178189994379,0.7318577718800893,0.839055883504792,0.7669330394047947,0.8461561653940967
1999,0.3899945919269926,0.23821740314975656,557.9950901626388,452.20109928406646,0.686797126579143,0.6468505864354921,0.664960643298035,0.8476925253254829,0.7455596355861298,0.8518389651253278
2000,0.3343511178018051,0.264265564952392,555.4588259029698,533.8081174976221,0.7866148552444233,0.7698964606444797,0.7759327788151417,0.8436512744749142,0.8143587069864442,0.858657621060354
2001,0.3375611847035912,0.24488159947166316,585.971062800398,398.2247760378723,0.8353774973711882,0.7804768831168829,0.8055101824914044,0.8638450819383997,0.8205080696059869,0.8756497579656226
2002,0.401657578402046,0.2838435376292733,528.7539362675177,358.9698750922221,0.8414440334292368,0.8128795489492567,0.8268355315140096,0.8476178236055257,0.7094323261219381,0.8488459440755659
2003,0.40313382011339705,0.30062066477542915,437.7020239493989,303.6604734259495,0.8476064537591483,0.8018721983786361,0.8244150536668614,0.8294373653820164,0.6483529724461771,0.8238238551109888
2004,0.5113038449308263,0.30942978133347826,314.71018578087495,642.7808068011332,0.887290322580645,0.8652776392352451,0.8756220629231382,0.8381210543498384,0.6977274295076313,0.8371570842244482
2005,0.413647828354648,0.30924292089288097,605.9993462162437,702.623222632848,0.9043624939212888,0.8754878556557946,0.8901411189149186,0.8224288383316397,0.7145270672218917,0.8243881260777283
2006,0.5019894078570115,0.29367757037740994,654.0771892519688,1222.9212106889845,0.8895999439879114,0.8678591549295774,0.8805042455888188,0.8203589056628071,0.7635374519311152,0.828909564634905
2007,0.47938894277400584,0.31181181126584173,400.97019232272004,1066.9176514175442,0.8193803080146099,0.8700421940928269,0.84098735382521,0.8141875057873539,0.7537559611905937,0.8215861528949483
2008,0.46724814534325604,0.3172753695459788,289.6092544923923,870.8586548308886,0.7835779277957147,0.7495803310613436,0.7692117607469663,0.8062253520851379,0.7176813513079762,0.8125096262312864
2009,0.5074200002454922,0.3391054172306336,484.40437246063215,733.937472228944,0.8066816772072275,0.6708027995059695,0.7492379206941356,0.7820383114095638,0.6373174450329001,0.7806628681896733
2010,0.4815925026535421,0.3341587889489437,295.48463456469347,965.4771784642735,0.7978095594163439,0.6942588526912181,0.7509893891644851,0.7873031219769305,0.6811937044085,0.7920768908555793
2011,0.42685724722348006,0.3823590723772638,344.9625421973603,1184.76825799962,0.859389596273539,0.689360124180752,0.7868495273506827,0.7901240127079667,0.6875595604057791,0.7888130333794172
2012,0.4696164534650134,0.34655150370909954,377.1973518924253,910.701977977671,0.8376624631455735,0.7407137608550435,0.7994525799771517,0.7798939279916999,0.6843310002441605,0.7786024145796104
2013,0.43214154784909486,0.3507928455131079,416.49708654295705,620.9346932352228,0.794252606757027,0.6668027508596436,0.7523005201692761,0.780514995635654,0.6940550278414673,0.7823753793191227
2014,0.40025544841038174,0.3411583833486089,538.6579380491202,637.6917506905429,0.7380247608328644,0.633404647208841,0.700248035663396,0.7923595528394277,0.6924132001310187,0.7936474170997249
2015,0.38002242571481964,0.3093651033026693,625.7403040522361,626.0847314924467,0.7815238160843848,0.5496661530559835,0.6901492882937406,0.7958637712051809,0.6787381264330167,0.7932239173025981
2016,0.3983495873968492,0.33800017284590783,562.2139195262345,526.1823495711269,0.8367100090716661,0.648031113271755,0.7621153665192434,0.8334055645517444,0.7106329839502129,0.8273471082849269
2017,0.4151544094237504,0.3398456412155042,523.0624830203443,756.6289598528965,0.8716158449700769,0.7543227665706052,0.8263694612399602,0.8416746513055602,0.7188216508352441,0.8384995781754895
2018,0.459545983701979,0.3398456412155042,441.5946133671313,899.3658301780633,0.9110320284697508,0.8251681075888568,0.8779761904761905,0.8507157121977887,0.7188216508352441,0.8467074009251156
